ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL1456635,,,Small molecule,,356.43,22,27,3.61,69.64,5,2,0,4,N,0.64,4.07,None,4.5,1.38,2,MOL,-1,24,5,2,0,356.0289,-1.37,ACID,C17H12N2O3S2,O=C(O)c1ccc(/C=C2\SC(=S)N(Nc3ccccc3)C2=O)cc1,LTGJJOLOFIAMQW-UVTDQMKNSA-N
CHEMBL1378223,,,Small molecule,,242.24,113,126,1.47,76.1,6,2,0,2,N,0.67,9.11,1.85,1.54,1.53,3,MOL,-1,18,6,2,0,242.0804,-1,NEUTRAL,C12H10N4O2,Oc1cc(-n2cccn2)c(O)cc1-n1cccn1,NEKFXNXCGBONEV-UHFFFAOYSA-N
CHEMBL210882,4-HYDROXYPANDURATIN A,,Small molecule,,392.5,2,13,5.71,77.76,4,3,1,5,N,0.45,7.96,None,6.84,6.73,2,MOL,-1,29,4,3,1,392.1988,1.82,NEUTRAL,C25H28O4,CC(C)=CC[C@@H]1C(C)=CC[C@@H](c2ccccc2)[C@@H]1C(=O)c1c(O)cc(O)cc1O,AYPOOQWQTQIRFW-ZRCGQRJVSA-N
CHEMBL1305450,,,Small molecule,,292.29,59,72,4.16,61.29,5,0,0,3,N,0.57,None,None,3.33,3.33,4,MOL,-1,22,5,0,0,292.0848,-0.83,NEUTRAL,C17H12N2O3,COc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,KERKANPWIRULOP-UHFFFAOYSA-N
CHEMBL1302328,,,Small molecule,,420.4,31,41,4.19,99.85,4,2,0,5,N,0.48,3.9,None,3.57,0.35,3,MOL,-1,31,7,2,0,420.1121,-1.22,ACID,C23H17FN2O5,Cc1cc(C(=O)O)ccc1-c1ccc(/C=C2\NC(=O)N(Cc3ccc(F)cc3)C2=O)o1,ZCLCEOWKKQHMNP-ODLFYWEKSA-N
CHEMBL1396610,,,Small molecule,,582.48,20,20,2.89,124.09,7,2,1,6,N,0.3,-1.23,None,1.2,0.1,2,MOL,-1,34,9,2,1,580.9385,-1.72,ACID,C21H16BrN3O6S3,O=C(CN1C(=O)/C(=C2/SC(=S)N(CCS(=O)(=O)O)C2=O)c2ccccc21)Nc1cccc(Br)c1,IQWKHNPYLCUEJX-ISLYRVAYSA-N
CHEMBL1311053,,,Small molecule,,447.55,32,50,4.45,111.42,7,0,0,5,N,0.37,11.44,None,5.36,5.36,1,MOL,-1,31,7,0,0,447.1716,-0.25,NEUTRAL,C23H29NO6S,CCc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],LUFMHBQKBGNKAD-UHFFFAOYSA-N
CHEMBL1393327,,,Small molecule,,361.4,18,19,3.52,102.2,6,1,0,5,N,0.55,6.6,None,3.78,3.15,3,MOL,-1,24,7,1,0,361.0191,-2.2,NEUTRAL,C15H11N3O4S2,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nc(-c3ccccc3)cs2)cc1,ZVIWSYSPOBDBSP-UHFFFAOYSA-N
CHEMBL1880447,,,Small molecule,,262.31,6,6,3.49,32.67,2,0,0,2,N,0.76,None,None,3.58,3.58,2,MOL,-1,20,3,0,0,262.1106,-1.23,NEUTRAL,C17H14N2O,CC1=NN(c2ccccc2)C(=O)C1=Cc1ccccc1,ZWJMMDQHGRHUCZ-UHFFFAOYSA-N
CHEMBL3182716,,,Small molecule,,508.62,39,47,4.22,109.74,5,1,1,5,N,0.55,9.86,None,4.47,4.47,3,MOL,-1,35,7,1,1,508.1127,-0.96,NEUTRAL,C26H24N2O5S2,CC(C)(C)c1ccc(S(=O)(=O)/N=C2\C=C(NS(=O)(=O)c3ccccc3)C(=O)c3ccccc32)cc1,PHBQIHQMSMVNCI-SLEBQGDGSA-N
CHEMBL3219169,,,Small molecule,,272.29,2,3,2.96,65.14,5,0,0,2,N,0.53,None,None,3.18,3.18,3,MOL,-1,19,5,0,0,272.0256,-1.31,None,C13H8N2O3S,O=c1c2ccccc2sn1-c1ccccc1[N+](=O)[O-],YNXHSEQWGIQPAF-UHFFFAOYSA-N
CHEMBL1526067,,,Small molecule,,269.22,35,57,3.2,99.17,5,0,0,2,N,0.4,None,2.04,3.39,3.39,3,MOL,-1,20,7,0,0,269.0437,-1.08,NEUTRAL,C13H7N3O4,O=[N+]([O-])c1cc([N+](=O)[O-])c2cc3ccccc3nc2c1,KTLYTJKMYQFECQ-UHFFFAOYSA-N
CHEMBL1405684,,,Small molecule,,509.36,29,32,4.22,109.98,7,1,1,7,N,0.26,2.78,None,4.72,1.22,2,MOL,-1,30,8,1,1,507.9398,-1.73,ACID,C19H13BrN2O6S2,O=C(O)CN1C(=O)/C(=C\c2cc(Br)ccc2OCc2ccc([N+](=O)[O-])cc2)SC1=S,KPYGWNZHKBWIBY-LZYBPNLTSA-N
CHEMBL1380356,,,Small molecule,,398.42,13,13,2.5,113.01,5,2,0,7,N,0.41,3.34,None,2.4,-1.49,1,MOL,-1,29,8,2,0,398.1478,-1.13,ACID,C21H22N2O6,O=C(O)COc1ccccc1/C=C1\C(=O)NC(=O)N(CCC2=CCCCC2)C1=O,HMAKWALXEGBUMK-FOWTUZBSSA-N
